ID,MA_NGANHNGHE_KINHTE_CAP01,TEN_NGANHNGHE_KINHTE_CAP01
1,A,"NÔNG NGHIỆP, LÂM NGHIỆP VÀ THUỶ SẢN"
2,B,KHAI KHOÁNG
3,C,"CÔNG NGHIỆP CHẾ BIẾN, CHẾ TẠO"
4,D,"SẢN XUẤT VÀ PHÂN PHỐI ĐIỆN, KHÍ ĐỐT, NƯỚC NÓNG, HƠI NƯỚC VÀ ĐIỀU HOÀ KHÔNG KHÍ"
5,E,"CUNG CẤP NƯỚC; HOẠT ĐỘNG QUẢN LÝ VÀ XỬ LÝ RÁC THẢI, NƯỚC THẢI"
6,F,XÂY DỰNG
7,G,"BÁN BUÔN VÀ BÁN LẺ; SỬA CHỮA Ô TÔ, MÔ TÔ, XE MÁY VÀ XE CÓ ĐỘNG CƠ KHÁC"
8,H,VẬN TẢI KHO BÃI
9,I,DỊCH VỤ LƯU TRÚ VÀ ĂN UỐNG
10,J,THÔNG TIN VÀ TRUYỀN THÔNG
11,K,"HOẠT ĐỘNG TÀI CHÍNH, NGÂN HÀNG VÀ BẢO HIỂM"
12,L,HOẠT ĐỘNG KINH DOANH BẤT ĐỘNG SẢN
13,M,"HOẠT ĐỘNG CHUYÊN MÔN, KHOA HỌC VÀ CÔNG NGHỆ"
14,N,HOẠT ĐỘNG HÀNH CHÍNH VÀ DỊCH VỤ HỖ TRỢ
15,O,"HOẠT ĐỘNG CỦA ĐẢNG CỘNG SẢN, TỔ CHỨC CHÍNH TRỊ - XÃ HỘI, QUẢN LÝ NHÀ NƯỚC, AN NINH QUỐC PHÒNG; BẢO ĐẢM XÃ HỘI BẮT BUỘC"
16,P,GIÁO DỤC VÀ ĐÀO TẠO
17,Q,Y TẾ VÀ HOẠT ĐỘNG TRỢ GIÚP XÃ HỘI
18,R,"NGHỆ THUẬT, VUI CHƠI VÀ GIẢI TRÍ"
19,S,HOẠT ĐỘNG DỊCH VỤ KHÁC
20,T,"HOẠT ĐỘNG LÀM THUÊ CÁC CÔNG VIỆC TRONG CÁC HỘ GIA ĐÌNH, SẢN XUẤT SẢN PHẨM VẬT CHẤT VÀ DỊCH VỤ TỰ TIÊU DÙNG CỦA HỘ GIA ĐÌNH"
21,U,HOẠT ĐỘNG CỦA CÁC TỔ CHỨC VÀ CƠ QUAN QUỐC TẾ
